date,gwl,pr,tm
1987-05-03,121.336,20.35614,7.447136
1987-05-10,121.322,0.9206437,10.7667885
1987-05-17,121.308,0.0,9.315678
1987-05-24,121.294,0.0,13.011516
1987-05-31,121.28,1.576958,12.855482
1987-06-07,121.28,0.8750067,16.428806
1987-06-14,121.28,0.22493917,13.4781685
1987-06-21,121.28,0.028722512,11.37199
1987-06-28,121.28,0.046084393,19.750343
1987-07-05,121.2225,0.0,17.275455
1987-07-12,121.165,0.0039668707,17.969437
1987-07-19,121.1075,0.12286682,18.346243
1987-07-26,121.05,3.2377367,11.267662
1987-08-02,121.0375,3.443376,13.542085
1987-08-09,121.025,6.281309,14.011396
1987-08-16,121.0125,2.6172075,14.817631
1987-08-23,121.0,5.740619,19.251778
1987-08-30,120.968,0.0,15.074205
1987-09-06,120.936,0.29797783,14.62421
1987-09-13,120.904,7.2230005,16.768017
1987-09-20,120.872,0.42767292,14.741489
1987-09-27,120.84,0.50219643,8.542514
1987-10-04,120.825,0.0073865503,9.991332
1987-10-11,120.81,4.40245,11.99593
1987-10-18,120.795,0.0,8.9743
1987-10-25,120.78,0.029559353,5.228194
1987-11-01,120.788,5.4822702,9.547719
1987-11-08,120.796,0.0,4.6089025
1987-11-15,120.804,1.2918372,5.5598564
1987-11-22,120.812,0.92025864,5.612029
1987-11-29,120.82,0.0,3.0265431
1987-12-06,120.815,0.2755393,-3.415735
1987-12-13,120.81,0.0,-3.0516536
1987-12-20,120.805,3.813716,8.341832
1987-12-27,120.8,0.5262941,7.7912555
1988-01-03,120.7875,2.2414486,6.897057
1988-01-10,120.775,0.9379405,6.177188
1988-01-17,120.7625,1.1506505,3.8155637
1988-01-24,120.75,4.1770854,3.714101
1988-01-31,120.736,0.18346582,4.0973725
1988-02-07,120.722,0.86756575,2.9986699
1988-02-14,120.708,0.0,2.492929
1988-02-21,120.694,1.2335517,3.1706696
1988-02-28,120.68,5.0632524,-0.014783136
1988-03-06,120.905,7.417489,1.1470091
1988-03-13,121.13,4.7849064,-0.05463702
1988-03-20,121.355,3.0860224,7.664613
1988-03-27,121.58,4.839662,4.2813582
1988-04-03,121.512,0.0,5.7786846
1988-04-10,121.444,0.0,4.8987217
1988-04-17,121.376,1.7015675,13.570412
1988-04-24,121.308,0.0,2.6409557
1988-05-01,121.24,0.69518036,14.980067
1988-05-08,121.1525,0.0,14.756051
1988-05-15,121.065,0.0,18.381638
1988-05-22,120.9775,0.0,10.175044
1988-05-29,120.89,0.3301248,16.372198
1988-06-05,120.845,0.018496588,12.782389
1988-06-12,120.8,0.0,13.182198
1988-06-19,120.755,0.05206579,12.785362
1988-06-26,120.71,0.003303048,16.846075
1988-07-03,120.7275,0.057071235,16.177055
1988-07-10,120.745,0.0,18.116697
1988-07-17,120.7625,1.4014177,14.613483
1988-07-24,120.78,8.206595,18.903288
1988-07-31,120.7475,0.0,16.138466
1988-08-07,120.715,0.0,18.865686
1988-08-14,120.6825,0.0,20.509083
1988-08-21,120.65,0.3126391,15.609487
1988-08-28,120.633333333333,0.3451845,21.88573
1988-09-04,120.616666666667,0.010819007,14.448717
1988-09-11,120.6,0.10716735,16.03262
1988-09-18,120.583333333333,0.3760657,14.121438
1988-09-25,120.566666666667,1.5806347,13.037442
1988-10-02,120.55,0.0,9.674969
1988-10-09,120.583333333333,0.5415108,14.339026
1988-10-16,120.616666666667,0.59033585,10.129124
1988-10-23,120.65,0.0,8.857109
1988-10-30,120.652,0.05220716,2.5266092
1988-11-06,120.654,0.0,2.1676009
1988-11-13,120.656,3.0797186,7.788666
1988-11-20,120.658,0.51919925,-0.37964875
1988-11-27,120.66,0.64346075,4.3832493
1988-12-04,120.79,7.9538326,3.3434544
1988-12-11,120.92,5.3630404,7.526267
1988-12-18,121.05,18.04463,4.4192758
1988-12-25,121.18,0.21043064,6.184362
1989-01-01,121.128,0.8519778,6.3495946
1989-01-08,121.076,1.3118773,8.399281
1989-01-15,121.024,0.025740264,6.525977
1989-01-22,120.972,0.013986658,4.14256
1989-01-29,120.92,0.03879992,2.558453
1989-02-05,120.93,0.17286836,4.210107
1989-02-12,120.94,6.7471194,3.923267
1989-02-19,120.95,11.212244,10.428605
1989-02-26,120.96,1.7664281,4.1848993
1989-03-05,120.9575,0.004593776,8.513705
1989-03-12,120.955,0.07005474,6.961445
1989-03-19,120.9525,0.0,7.2393417
1989-03-26,120.95,0.0073865503,6.1501665
1989-04-02,120.9325,0.008761557,0.48106447
1989-04-09,120.915,0.00019736205,8.472286
1989-04-16,120.8975,6.9872155,7.8502707
1989-04-23,120.88,2.337699,4.865375
1989-04-30,120.828,0.0,6.626305
1989-05-07,120.776,0.0048759696,7.9651837
1989-05-14,120.724,0.07074426,10.850384
1989-05-21,120.672,0.0,16.06709
1989-05-28,120.62,0.0,15.712963
1989-06-04,120.585,5.42339,9.978194
1989-06-11,120.55,4.389342,12.429195
1989-06-18,120.515,0.0,19.586992
1989-06-25,120.48,0.0,19.957495
1989-07-02,120.49,16.607239,16.137877
1989-07-09,120.5,3.9759016,19.599642
1989-07-16,120.51,0.06351788,13.7441
1989-07-23,120.52,5.1748047,20.4939
1989-07-30,120.4,2.458671,18.24072
1989-08-06,120.28,0.0047117937,18.511095
1989-08-13,120.16,0.0,19.066792
1989-08-20,120.04,0.0,22.639685
1989-08-27,119.92,13.668752,13.114528
1989-09-03,119.9775,0.010190029,11.492266
1989-09-10,120.035,0.35026428,16.528713
1989-09-17,120.0925,0.004593713,19.438988
1989-09-24,120.15,1.6355163,14.9349785
1989-10-01,120.172,0.8164459,11.786302
1989-10-08,120.194,4.132741,8.490779
1989-10-15,120.216,0.41518825,7.559576
1989-10-22,120.238,0.0,17.681786
1989-10-29,120.26,2.6805735,11.048437
1989-11-05,120.2825,0.089018196,7.0473366
1989-11-12,120.305,0.0,5.153116
1989-11-19,120.3275,0.0,-2.0347967
1989-11-26,120.35,5.71609,2.7353585
1989-12-03,120.41,0.005950261,-0.8001427
1989-12-10,120.47,0.005897986,-1.5994962
1989-12-17,120.53,2.2353787,10.745015
1989-12-24,120.59,1.2536422,6.254471
1989-12-31,120.576,0.013206968,-3.054078
1990-01-07,120.562,2.2662622e-05,-0.723135
1990-01-14,120.548,0.1061961,2.4533293
1990-01-21,120.534,0.28584158,8.773895
1990-01-28,120.52,1.2662388,6.8149366
1990-02-04,120.585,0.0039668707,6.199688
1990-02-11,120.65,1.4856453,4.2282386
1990-02-18,120.715,0.72455287,8.183708
1990-02-25,120.78,4.906743,11.614475
1990-03-04,120.79,0.25331727,5.0625687
1990-03-11,120.8,0.036328916,12.24535
1990-03-18,120.81,0.0,11.471011
1990-03-25,120.82,0.8943893,4.110889
1990-04-01,120.824,0.0,11.136959
1990-04-08,120.828,0.07224374,3.1321108
1990-04-15,120.832,2.0845158,5.7940044
1990-04-22,120.836,1.5380218,11.077336
1990-04-29,120.84,0.0,11.232391
1990-05-06,120.806666666667,0.0,18.588552
1990-05-13,120.773333333333,0.22289596,11.415597
1990-05-20,120.74,0.0,13.250891
1990-05-27,120.72,0.0,11.244801
1990-06-03,120.7,4.4392447,14.387299
1990-06-10,120.68,40.866383,11.607605
1990-06-17,120.66,0.0,14.486245
1990-06-24,120.62,0.003023337,15.276611
1990-07-01,120.58,1.5762639,16.021006
1990-07-08,120.523333333333,0.10701883,17.795616
1990-07-15,120.466666666667,0.0127664665,17.493319
1990-07-22,120.41,0.0,15.242808
1990-07-29,120.356,0.3819725,18.602379
1990-08-05,120.302,0.0317347,22.51781
1990-08-12,120.248,0.0,23.639719
1990-08-19,120.194,1.3052025,15.346706
1990-08-26,120.14,0.0,17.828875
1990-09-02,120.18,4.0957117,15.3403015
1990-09-09,120.22,8.060734,12.260136
1990-09-16,120.26,0.0,10.276831
1990-09-23,120.315,3.571961,11.100328
1990-09-30,120.37,4.825596,16.002878
1990-10-07,120.3775,0.4840983,11.15624
1990-10-14,120.385,0.0,16.717438
1990-10-21,120.3925,0.0,5.4450803
1990-10-28,120.4,7.6099744,10.033165
1990-11-04,120.47,5.339775,2.2970552
1990-11-11,120.54,1.4854251,9.146005
1990-11-18,120.61,4.7551017,6.017779
1990-11-25,120.68,0.30024794,1.4343982
1990-12-02,120.744,0.79015946,3.3867395
1990-12-09,120.808,0.010891105,-2.3400393
1990-12-16,120.872,0.90669674,-0.8386752
1990-12-23,120.936,0.017799884,5.2437983
1990-12-30,121.0,0.030941444,5.970776
1991-01-06,121.036666666667,0.022242311,4.669613
1991-01-13,121.073333333333,0.012639537,-0.31064466
1991-01-20,121.11,0.86075795,1.2605
1991-01-27,121.1,0.0039668707,0.8354984
1991-02-03,121.09,0.0,-8.3005905
1991-02-10,121.08,3.2744431,-4.354544
1991-02-17,121.07,0.023570176,-1.1686003
1991-02-24,121.055,0.0,8.753918
1991-03-03,121.04,0.020935612,6.417041
1991-03-10,121.026666666667,0.0,9.32011
1991-03-17,121.013333333333,0.0,11.364048
1991-03-24,121.0,0.40942153,6.4039593
1991-03-31,120.9825,0.028513584,3.687985
1991-04-07,120.965,2.1126332,8.079106
1991-04-14,120.9475,0.0,11.526165
1991-04-21,120.93,0.036554966,1.3193806
1991-04-28,120.91,4.424926,8.946398
1991-05-05,120.89,0.00097628054,8.010743
1991-05-12,120.87,0.051711783,8.8507395
1991-05-19,120.85,0.0032206604,10.29243
1991-05-26,120.83,0.0051359734,10.222238
1991-06-02,120.776,0.07166886,11.802326
1991-06-09,120.722,5.006408,15.372667
1991-06-16,120.668,0.03953132,12.474087
1991-06-23,120.614,0.47049326,18.348278
1991-06-30,120.56,1.0209923,15.374771
1991-07-07,120.535,0.0,23.736586
1991-07-14,120.51,5.2437763,16.759178
1991-07-21,120.485,0.053060643,16.305855
1991-07-28,120.46,0.0,19.946838
1991-08-04,120.42,0.0,18.914907
1991-08-11,120.38,4.4932055,19.361391
1991-08-18,120.35,2.1969755,14.278495
1991-08-25,120.32,0.0,15.572296
1991-09-01,120.29,0.0,18.225885
1991-09-08,120.2825,0.7790101,13.876835
1991-09-15,120.275,0.13775767,17.98601
1991-09-22,120.2675,15.06929,16.231426
1991-09-29,120.26,0.21259332,13.267946
1991-10-06,120.315,3.0495706,13.074091
1991-10-13,120.37,1.0427709,12.1921425
1991-10-20,120.425,0.17649713,2.7852042
1991-10-27,120.48,0.0,2.247535
1991-11-03,120.5175,10.784881,10.541336
1991-11-10,120.555,0.18570937,3.2346997
1991-11-17,120.5925,0.010623955,2.1898186
1991-11-24,120.63,0.0153053,2.8753934
1991-12-01,120.67,0.0039669196,0.47064802
1991-12-08,120.71,0.7217224,1.8359362
1991-12-15,120.75,0.0,1.5369955
1991-12-22,120.79,8.070375,6.4482017
1991-12-29,120.782,0.19866922,4.4752107
1992-01-05,120.774,20.2647,4.0295396
1992-01-12,120.766,0.36690384,1.5581752
1992-01-19,120.758,10.264519,3.9086313
1992-01-26,120.75,0.1749065,0.5635003
1992-02-02,120.76,0.7915262,-1.4612596
1992-02-09,120.77,0.0023700802,6.0697036
