date,gwl,pr,tm
1968-07-14,3.2,11.023824,16.794464
1968-07-21,3.19,0.80020213,14.949683
1968-07-28,3.22,0.0,15.276594
1968-08-04,3.2,0.0,18.337181
1968-08-11,3.16,0.047860567,15.560719
1968-08-18,3.17,1.5896066,12.989404
1968-08-25,3.17,2.832938,19.876104
1968-09-01,3.31,2.833876,16.272377
1968-09-08,3.34,0.0,15.915996
1968-09-15,3.35,33.285503,13.848545
1968-09-22,3.62,13.847133,12.642499
1968-09-29,3.62,0.93932545,12.675804
1968-10-06,3.57,5.5541024,13.95261
1968-10-13,3.72,0.050100807,13.500372
1968-10-20,3.66,0.0019820505,6.9773397
1968-10-27,3.45,0.0019820505,8.6362505
1968-11-03,3.35,6.129306,12.128521
1968-11-10,3.38,0.08589996,3.0190876
1968-11-17,3.3,0.67472225,2.856261
1968-11-24,3.3,2.5863829,8.0890045
1968-12-01,3.26,0.0074504595,2.8344998
1968-12-08,3.24,0.0,0.2909018
1968-12-15,3.19,0.030035876,-2.0676813
1968-12-22,3.16,6.411398,3.4981227
1968-12-29,3.22,0.010116194,-4.560225
1969-01-05,3.41,0.01979909,-0.86301166
1969-01-12,3.22,0.97818196,2.251348
1969-01-19,3.18,6.9676704,4.5095773
1969-01-26,3.35,0.02565526,6.231909
1969-02-02,3.41,6.279907,2.535403
1969-02-09,3.29,2.214942,-0.32182407
1969-02-16,3.21,7.236674,-3.519501
1969-02-23,3.51,0.0,1.8986522
1969-03-02,3.44,0.0,-0.059264466
1969-03-09,3.27,0.028817495,2.3784294
1969-03-16,3.22,1.1677504,-3.472458
1969-03-23,3.24,0.93100613,1.2330923
1969-03-30,3.21,7.305966,5.6284995
1969-04-06,3.25,0.0,9.050157
1969-04-13,3.37,2.3277047,3.7169046
1969-04-20,3.38,0.08396814,3.344571
1969-04-27,3.27,0.0061323075,10.743225
1969-05-04,3.22,9.839537,13.408195
1969-05-11,3.2,0.1013817,15.75002
1969-05-18,3.14,0.5564673,8.375898
1969-05-25,3.15,2.3643377,16.861454
1969-06-01,3.22,0.22265294,10.824733
1969-06-08,3.22,0.0,14.576425
1969-06-15,3.16,5.771434,18.505299
1969-06-22,3.28,1.6407869,15.794844
1969-06-29,3.27,10.1986885,13.1803875
1969-07-06,3.15,8.725776,16.162365
1969-07-13,3.2,0.027608545,15.936665
1969-07-20,3.26,0.042448927,18.163933
1969-07-27,3.32,1.9668742,22.209492
1969-08-03,3.29,5.692944,20.755733
1969-08-10,3.25,0.0,19.131163
1969-08-17,3.19,3.1256752,17.717741
1969-08-24,3.2,3.3448777,14.874712
1969-08-31,3.24,0.21630558,15.090498
1969-09-07,3.27,0.0,13.923766
1969-09-14,3.17,0.0,18.477976
1969-09-21,3.12,1.6909308,14.741643
1969-09-28,3.08,0.29769504,8.578261
1969-10-05,3.07,0.005674172,12.312553
1969-10-12,3.07,0.004655491,12.150157
1969-10-19,3.08,0.030257603,8.186273
1969-10-26,3.07,0.022418806,10.797768
1969-11-02,3.37,0.29932415,12.717896
1969-11-09,3.38,8.238067,7.134312
1969-11-16,3.3,1.0800681,6.571046
1969-11-23,3.27,0.047649324,6.500044
1969-11-30,3.26,0.0,-2.3691123
1969-12-07,3.23,0.0033698706,-3.0962527
1969-12-14,3.21,0.5521309,-0.9599413
1969-12-21,3.16,0.35889664,-11.91103
1969-12-28,3.24,0.0,-7.2736917
1970-01-04,3.11,0.008114368,-4.1508093
1970-01-11,3.14,0.008216591,2.4372678
1970-01-18,3.13,0.0,-5.2622075
1970-01-25,3.16,2.4851604,2.4908705
1970-02-01,3.24,0.0,-7.6119537
1970-02-08,3.31,3.7202845,2.5924733
1970-02-15,3.19,0.75934535,-6.503307
1970-02-22,3.41,18.818457,4.2681527
1970-03-01,3.46,6.930707,0.7139734
1970-03-08,3.3,2.795099,-2.0629268
1970-03-15,3.22,0.46799633,0.19870141
1970-03-22,3.37,0.072537385,5.663118
1970-03-29,3.26,0.6104565,2.49022
1970-04-05,3.34,6.3659234,0.788451
1970-04-12,3.36,0.017371692,4.3918552
1970-04-19,3.35,1.749296,8.523085
1970-04-26,3.46,1.1233592,7.9713516
