date,gwl,pr,tm
1982-06-13,192.94,9.174335,9.888831
1982-06-20,192.94,0.07218342,12.495711
1982-06-27,192.9,2.392158,14.426205
1982-07-04,192.9,1.0461831,12.96898
1982-07-11,192.9,0.0,20.236877
1982-07-18,192.89,0.003335537,16.12666
1982-07-25,192.89,0.002430807,17.431128
1982-08-01,192.88,0.0,21.718754
1982-08-08,192.89,0.054093745,18.301828
1982-08-15,192.88,7.4398828,16.306648
1982-08-22,192.88,0.044794455,13.873107
1982-08-29,192.88,0.00044716528,13.043363
1982-09-05,192.89,2.157302,17.87382
1982-09-12,192.89,0.0,16.183445
1982-09-19,192.88,0.0,16.786999
1982-09-26,192.9,3.5851543,16.629576
1982-10-03,192.9,0.0,13.019441
1982-10-10,192.9,2.0474641,8.61097
1982-10-17,192.91,2.9221992,8.098671
1982-10-24,192.91,4.0422072,7.0294895
1982-10-31,192.92,0.00053388445,6.6634035
1982-11-07,192.91,0.01259197,2.6043446
1982-11-14,192.92,1.7215322,2.3047514
1982-11-21,192.93,0.005461267,5.6167126
1982-11-28,192.92,0.039460402,1.8245744
1982-12-05,192.91,0.9874151,1.5616695
1982-12-12,192.94,0.034961503,-0.55244434
1982-12-19,192.97,4.4284034,0.066892944
1982-12-26,192.96,0.6455571,2.6707044
1983-01-02,192.93,0.044122953,0.763137
1983-01-09,192.96,6.078271,2.6252623
1983-01-16,193.06,13.087395,4.012427
1983-01-23,193.0,0.026582588,-0.4125539
1983-01-30,193.1,8.048863,1.9241045
1983-02-06,193.04,0.20845932,0.24733406
1983-02-13,192.98,0.011953392,-8.388068
1983-02-20,192.95,1.6430957,-0.79040533
1983-02-27,192.98,4.3466988,4.32496
1983-03-06,192.97,1.7996383,5.479307
1983-03-13,192.98,0.11852043,4.0905824
1983-03-20,192.95,5.174307,7.3303747
1983-03-27,193.04,1.7973957,1.1865084
1983-04-03,193.25,0.3058449,1.9355414
1983-04-10,193.1,7.867716,7.9286737
1983-04-17,193.1,0.0,13.891181
1983-04-24,193.02,0.20562923,8.088551
1983-05-01,193.0,2.4119616,10.359534
1983-05-08,192.97,1.7464802,10.122118
1983-05-15,192.94,0.38381684,14.443676
1983-05-22,192.93,0.61029446,10.008742
1983-05-29,192.94,4.6240993,8.300254
1983-06-05,192.93,4.1712003,13.456423
1983-06-12,192.92,2.0390787,17.609417
1983-06-19,192.92,0.0,15.99886
1983-06-26,192.92,1.6809659,16.814539
1983-07-03,192.91,0.00044716528,16.925978
1983-07-10,192.91,0.0039673224,23.13791
1983-07-17,192.91,0.021473609,23.155338
1983-07-24,192.94,28.859226,18.53641
1983-07-31,192.94,0.0,22.938564
1983-08-07,192.94,0.0,16.665318
1983-08-14,192.94,0.00044716528,11.883579
1983-08-21,192.91,0.7393234,21.069506
1983-08-28,192.91,0.0,14.972124
1983-09-04,192.91,0.28964964,14.098817
1983-09-11,192.91,0.70578045,12.56896
1983-09-18,192.9,0.14941671,13.113948
1983-09-25,192.9,0.00044716528,9.8234
1983-10-02,192.9,1.698264,12.428116
1983-10-09,192.91,3.5024748,6.159868
1983-10-16,192.91,1.3980942,8.918616
1983-10-23,192.91,0.0,2.5490248
1983-10-30,192.9,0.81739914,2.5645332
1983-11-06,192.9,0.0,7.1110616
1983-11-13,192.9,0.010134545,-3.3754063
1983-11-20,192.9,1.7621459,2.6750011
1983-11-27,192.95,28.683342,8.549172
1983-12-04,192.93,0.0,-2.2866714
1983-12-11,192.94,1.1360289,-6.389091
1983-12-18,192.94,1.0184374,2.1794882
1983-12-25,192.97,8.793962,8.272042
1984-01-01,193.01,14.119017,4.2261624
1984-01-08,193.02,2.8108969,0.6220083
1984-01-15,193.02,2.1077971,0.14921564
1984-01-22,193.02,6.1274776,-6.02318
1984-01-29,193.01,0.74054015,2.4021902
1984-02-05,193.01,4.074302,2.54292
1984-02-12,193.08,0.0,-3.3892615
1984-02-19,193.02,0.0,-5.2523937
1984-02-26,192.98,0.22165874,0.44222245
1984-03-04,192.96,0.004703617,-1.6900773
1984-03-11,192.95,0.0,-1.2284168
1984-03-18,192.94,0.00044716528,-1.2598723
